SKU,Nombre,Precio,Marca,Laboratorio,Codigo_Barras_1,Codigo_Barras_2,Codigo_Barras_3,Codigo_Barras_4,Categoria,Es_Medicamento
43729,Antitranspirante Rexona Mujer Antibacterial En Aerosol x150ml,3639.79,Rexona,UNILEVER,7791293049519,7791293045122,,,Desodorantes Femeninos,
43730,Lata Leche Infantil Vital Etapa 1 Nutri-Plus x800gr,42795,Vital,KASD,7795323774839,7795323002253,,,Leches y Alimentos,true
43734,Interdental X-Fino Cilindrico Repuesto X8,6808.15,BUCAL TAC,GRIMBERG DENTALES SA,7798034748311,,,,Cepillos Dentales,
43778,Protector Solar Avene Aqua-Fluido Color Mat-Perfect SPF 30+ 50ml,17214.4,AVENE,PIERRE FABRE,7798095419991,3282770104615,,,Solar,
43782,Paula Cahen D´Anvers Alma Edt X60,29877.7,PAULA CAHEN D ANVERS,CANNON PUNTANA,7791600843038,,,,Fragancia Femenina,
43783,Paula Cahen D´Anvers Alma Edt. X100Ml,2516.98,PAULA CAHEN D ANVERS,CANNON PUNTANA,7791600843144,,,,Fragancia Femenina,
43784,Paula Cahen D´Anvers Alma Desodorante Aerosol X123,4920.99,PAULA CAHEN D ANVERS,CANNON PUNTANA,7791600843250,,,,Desodorantes Femeninos,
43786,Danielle Jolie Colonia Para Bebe X90,8587.56,Danielle,CANNON PUNTANA,7791600045036,,,,Fragancia Niños y Bebés,
43807,Azidac Q10 Cap X48,79450,Azidac,Eurolab,7798122340847,,,,Suplementos y Complementos,true
43808,"Olopat F 0,2% Oft. Sol X2,5",36035.3,Elea Phoenix,Elea Phoenix,7796285275068,,,,Medicamentos Bajo Receta,true
43815,Rayito De Sol Fps8 Emulsion X130,9572.22,RAYITO DE SOL,SISCOM ARG.,7796045103211,,,,Protectores Solares,
43817,Rayito De Sol Fps30 Emulsion X130,12961,RAYITO DE SOL,SISCOM ARG.,7796045102436,,,,Protectores Solares,
43818,Rayito Fps6 Aceite X195,18359.1,RAYITO DE SOL,SISCOM ARG.,7796045105116,,,,Protectores Solares,
43825,Toleriane Ultra Fluido X 40 Ml,63774.6,LA ROCHE POSAY,LA ROCHE,3337872414091,,,,Antiage,
43827,Arlyt Express Sol X360,17769.5,Arlyt,Berpharma,7798195030041,,,,Óptica,true
43829,Arlyt Multiproposito P/Len.Gas Permeable Solucion X120,20192.6,Arlyt,Berpharma,7798195030058,,,,Óptica,true
43830,Arlyt Express Solucion X120,11666.8,Arlyt,Berpharma,7798195030034,,,,Óptica,true
43833,Zostavax Amp X1,27543.4,Msd,Msd,7797991000609,,,,Medicamentos Bajo Receta,true
43834,Termómetro Digital Flexible Franklin Hz5 X1 Un,10470.5,Franklin,Franklin,7793780000249,,,,Diagnóstico y Monitoreo,
